所在縣市,醫院名稱,編號,醫院評鑑評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址
高雄市,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),10,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,108/1/1-114/12/31,07-8036783,高雄市小港區山明路482號B1至10樓
高雄市,義大醫療財團法人義大癌治療醫院,11,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,07-6150022,高雄市燕巢區角宿里義大路21號
高雄市,天主教聖功醫療財團法人聖功醫院,12,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,107/1/1-113/12/31,07-2238153,高雄市苓雅區建國一路352號
高雄市,長庚醫療財團法人高雄長庚紀念醫院,13,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,07-7317123,高雄市鳥松區大埤路123號
高雄市,義大醫療財團法人義大醫院,14,醫院評鑑合格（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,07-6150011,高雄市燕巢區角宿里義大路1號
高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,15,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,07-3121101,高雄市三民區十全一路100號及新興區中山一路36號
高雄市,健仁醫院,16,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,07-3517166,高雄市楠梓區楠陽路136號_朝明路130巷7弄1號1至5樓
屏東縣,衛生福利部屏東醫院,1,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,107/1/1-113/12/31,08-7363011,屏東縣屏東市自由路270號
屏東縣,高雄榮民總醫院屏東分院,2,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,08-7704115,屏東縣內埔鄉龍潭村昭勝路安平一巷1號
屏東縣,寶建醫療社團法人寶建醫院,3,醫院評鑑優等（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,08-7665995,屏東市中山路119_123號
屏東縣,安泰醫療社團法人安泰醫院,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,107/1/1-113/12/31,08-8329966,屏東縣東港鎮中正路一段210號
屏東縣,屏基醫療財團法人屏東基督教醫院及其瑞光院區,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,08-7363026,屏東縣屏東市大連路60號_屏東縣屏東市建豐路2巷113號
屏東縣,輔英科技大學附設醫院,6,醫院評鑑合格（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,109/1/1-115/12/31,08-8323146,屏東縣東港鎮中山路5號
屏東縣,國仁醫院,7,醫院評鑑合格（區域醫院）,非教學醫院,107/1/1-113/12/31,-,08-7223000,屏東縣屏東市民生東路12-2號
宜蘭縣,國立陽明交通大學附設醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,105/1/1-112/12/31,03-9325192,宜蘭縣宜蘭市校舍路169號_新民路152號
宜蘭縣,臺北榮民總醫院員山分院,2,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,108/1/1-114/12/31,107/1/1-113/12/31,03-9222141,宜蘭縣員山鄉榮光路386號
宜蘭縣,醫療財團法人羅許基金會羅東博愛醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,108/1/1-114/12/31,106/1/1-112/12/31,03-9543131,宜蘭縣羅東鎮南昌街81_83號_站前南路61_63號
宜蘭縣,天主教靈醫會醫療財團法人羅東聖母醫院,4,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-113/12/31,106/1/1-112/12/31,03-9544106,宜蘭縣羅東鎮中正南路160號
花蓮縣,國軍花蓮總醫院附設民眾診療服務處,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-8263151,花蓮縣新城鄉嘉里路163號
花蓮縣,佛教慈濟醫療財團法人花蓮慈濟醫院,2,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-113/12/31,107/1/1-113/12/31,03-8561825,花蓮縣花蓮市中央路三段707號
花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,03-8241234,花蓮縣花蓮市民權路44號
臺東縣,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,089-310150,臺東縣臺東市長沙街303巷1號
臺東縣,東基醫療財團法人台東基督教醫院,2,醫院評鑑合格（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,109/1/1-115/12/31,109/1/1-115/12/31,089-960888,臺東縣臺東市開封街350號
澎湖縣,三軍總醫院澎湖分院附設民眾診療服務處,1,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-112/12/31,106/1/1-112/12/31,06-9211116,澎湖縣馬公市前寮里90號1至5樓
